condition_code,condition_name,sample_id,filename,speaker_id,attack_type,ground_truth,ground_truth_binary,raw_score,threshold,predicted_label,is_correct,error_type,latency_ms
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,5,SPK_003_bonafide_1.wav,SPK_003,-,bonafide,1,-0.127507,-1.0625009,bonafide,True,None,945.64
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,6,SPK_003_bonafide_3.wav,SPK_003,-,bonafide,1,-0.127507,-1.0625009,bonafide,True,None,958.22
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,7,SPK_001_unseen_spoof_1_TTS-ChatTTS-Style.wav,SPK_001,TTS-ChatTTS-Style,spoof,0,1.701284,-1.0625009,bonafide,False,False Positive (FAR),925.08
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,8,SPK_001_unseen_spoof_2_VC-FreeVC-Style.wav,SPK_001,VC-FreeVC-Style,spoof,0,0.599148,-1.0625009,bonafide,False,False Positive (FAR),944.52
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,9,SPK_001_unseen_spoof_3_Neural-Vocoder-HiFiGAN.wav,SPK_001,Neural-Vocoder-HiFiGAN,spoof,0,4.087599,-1.0625009,bonafide,False,False Positive (FAR),1075.36
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,10,SPK_002_unseen_spoof_1_TTS-ChatTTS-Style.wav,SPK_002,TTS-ChatTTS-Style,spoof,0,2.309833,-1.0625009,bonafide,False,False Positive (FAR),947.97
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,11,SPK_002_unseen_spoof_2_VC-FreeVC-Style.wav,SPK_002,VC-FreeVC-Style,spoof,0,0.313088,-1.0625009,bonafide,False,False Positive (FAR),849.43
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,12,SPK_002_unseen_spoof_3_Neural-Vocoder-HiFiGAN.wav,SPK_002,Neural-Vocoder-HiFiGAN,spoof,0,1.566978,-1.0625009,bonafide,False,False Positive (FAR),847.23
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,13,SPK_003_unseen_spoof_1_TTS-ChatTTS-Style.wav,SPK_003,TTS-ChatTTS-Style,spoof,0,1.947302,-1.0625009,bonafide,False,False Positive (FAR),757.72
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,14,SPK_003_unseen_spoof_2_VC-FreeVC-Style.wav,SPK_003,VC-FreeVC-Style,spoof,0,-0.444568,-1.0625009,bonafide,False,False Positive (FAR),756.33
C5_UNSEEN_SPOOF,Unseen Spoof / Deepfake Sources,15,SPK_003_unseen_spoof_3_Neural-Vocoder-HiFiGAN.wav,SPK_003,Neural-Vocoder-HiFiGAN,spoof,0,0.32824,-1.0625009,bonafide,False,False Positive (FAR),790.5
